year,contrast,class_a,class_b,n_a,n_b,dLST_mean,dLST_ci_lo,dLST_ci_hi
2000,farmland_minus_green_space,farmland,green_space,3109,12173,2.039,1.975,2.099
2000,farmland_minus_living,farmland,living,3109,1268,-0.215,-0.311,-0.125
2000,living_minus_green_space,living,green_space,1268,12173,2.254,2.158,2.339
2000,living_minus_water,living,water,1268,1769,1.026,0.906,1.157
2000,production_minus_farmland,production,farmland,180,3109,0.222,0.038,0.44
2000,production_minus_green_space,production,green_space,180,12173,2.26,2.056,2.454
2000,production_minus_living,production,living,180,1268,0.006,-0.199,0.209
2000,production_minus_water,production,water,180,1769,1.033,0.821,1.255
2005,farmland_minus_green_space,farmland,green_space,1891,11022,2.328,2.231,2.427
2005,farmland_minus_living,farmland,living,1891,2913,-0.707,-0.816,-0.609
2005,living_minus_green_space,living,green_space,2913,11022,3.035,2.957,3.114
2005,living_minus_water,living,water,2913,1566,1.561,1.424,1.699
2005,production_minus_farmland,production,farmland,1110,1891,0.52,0.417,0.641
2005,production_minus_green_space,production,green_space,1110,11022,2.847,2.759,2.938
2005,production_minus_living,production,living,1110,2913,-0.187,-0.285,-0.082
2005,production_minus_water,production,water,1110,1566,1.374,1.228,1.518
2010,farmland_minus_green_space,farmland,green_space,892,10374,3.015,2.867,3.165
2010,farmland_minus_living,farmland,living,892,4289,-1.062,-1.21,-0.909
2010,living_minus_green_space,living,green_space,4289,10374,4.077,3.993,4.161
2010,living_minus_water,living,water,4289,1156,2.902,2.751,3.055
2010,production_minus_farmland,production,farmland,1791,892,0.902,0.736,1.077
2010,production_minus_green_space,production,green_space,1791,10374,3.917,3.822,4.027
2010,production_minus_living,production,living,1791,4289,-0.16,-0.265,-0.056
2010,production_minus_water,production,water,1791,1156,2.742,2.57,2.921
2015,farmland_minus_green_space,farmland,green_space,314,9571,2.881,2.62,3.122
2015,farmland_minus_living,farmland,living,314,5068,-1.204,-1.457,-0.946
2015,living_minus_green_space,living,green_space,5068,9571,4.085,4.008,4.159
2015,living_minus_water,living,water,5068,867,2.768,2.579,2.943
2015,production_minus_farmland,production,farmland,2682,314,1.512,1.254,1.771
2015,production_minus_green_space,production,green_space,2682,9571,4.393,4.307,4.479
2015,production_minus_living,production,living,2682,5068,0.307,0.21,0.393
2015,production_minus_water,production,water,2682,867,3.075,2.9,3.277
2020,farmland_minus_green_space,farmland,green_space,192,8992,2.884,2.55,3.225
2020,farmland_minus_living,farmland,living,192,6491,-1.255,-1.599,-0.925
2020,living_minus_green_space,living,green_space,6491,8992,4.139,4.055,4.227
2020,living_minus_water,living,water,6491,343,3.419,3.151,3.691
2020,production_minus_farmland,production,farmland,2479,192,1.992,1.625,2.34
2020,production_minus_green_space,production,green_space,2479,8992,4.876,4.763,4.987
2020,production_minus_living,production,living,2479,6491,0.737,0.625,0.831
2020,production_minus_water,production,water,2479,343,4.156,3.871,4.424
