year,class,class_label,n_grids,LST_mean,LST_ci_lo,LST_ci_hi,LST_median,LST_q25,LST_q75
2000,farmland,Farmland,3109,32.761,32.713,32.809,32.93,31.908,33.77
2000,green_space,Green space,12173,30.722,30.683,30.761,30.627,29.046,32.43
2000,living,Living land,1268,32.976,32.891,33.06,33.074,32.17,33.958
2000,production,Production land,180,32.983,32.797,33.17,33.07,32.019,33.934
2000,water,Water bodies,1769,31.95,31.861,32.038,32.181,30.38,33.51
2005,farmland,Farmland,1891,33.506,33.423,33.586,33.737,32.355,34.87
2005,green_space,Green space,11022,31.178,31.134,31.225,31.04,29.27,32.77
2005,living,Living land,2913,34.213,34.153,34.275,34.49,33.29,35.409
2005,production,Production land,1110,34.025,33.952,34.108,34.151,33.159,35.05
2005,water,Water bodies,1566,32.651,32.537,32.764,33.206,30.61,34.48
2010,farmland,Farmland,892,34.317,34.181,34.462,34.679,33.35,35.69
2010,green_space,Green space,10374,31.302,31.249,31.352,30.97,29.051,33.412
2010,living,Living land,4289,35.379,35.318,35.439,35.63,34.4,36.78
2010,production,Production land,1791,35.219,35.123,35.309,35.47,34.17,36.473
2010,water,Water bodies,1156,32.477,32.332,32.627,32.83,30.13,34.51
2015,farmland,Farmland,314,34.192,33.941,34.433,34.794,33.276,35.53
2015,green_space,Green space,9571,31.311,31.258,31.361,31.03,29.15,33.255
2015,living,Living land,5068,35.396,35.341,35.449,35.64,34.47,36.833
2015,production,Production land,2682,35.704,35.63,35.773,36.012,34.775,36.99
2015,water,Water bodies,867,32.629,32.445,32.797,32.63,30.28,34.888
2020,farmland,Farmland,192,33.953,33.592,34.291,34.691,32.062,35.738
2020,green_space,Green space,8992,31.069,31.012,31.124,30.612,28.964,32.81
2020,living,Living land,6491,35.208,35.148,35.269,35.58,33.85,37.057
2020,production,Production land,2479,35.945,35.855,36.026,36.37,34.785,37.51
2020,water,Water bodies,343,31.789,31.544,32.058,31.14,29.634,34.46
